,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-12-24,VV,-12.7692447037944,5.34578635535886,-12.6912937490269,2.31209566310714,-12.8128641801945,-4.75945308466044,-22.8212493393446
1,Sea Ice,2021-01-05,VV,-11.5363997312884,7.53929512746216,-11.1861264917024,2.74577769083044,-10.442516988462,-4.61940308610467,-24.4754872274066
2,Sea Ice,2021-01-29,VV,-12.3902266125927,8.00190373472235,-12.4371057481323,2.82876364066041,-12.5622151492679,-3.35741260543111,-24.4267128645721
3,Sea Ice,2021-03-06,VV,-12.4089543619129,5.3391501920789,-12.3109709181272,2.31066012041557,-12.1906618731677,-5.4482433978899,-28.416634133411
4,Sea Ice,2021-03-18,VV,-13.2620713170523,5.01143315078049,-13.0615071465591,2.23862304794275,-12.5630928568088,-5.93592881643734,-26.1757549930933
5,Sea Ice,2021-03-30,VV,-13.0318569608958,8.07316247567058,-12.8087372080161,2.84133110982697,-12.4370689666645,-4.51986501570551,-26.8627022387313
6,Sea Ice,2021-04-23,VV,-13.237148812008,4.73693883437048,-13.179885557448,2.17645097219544,-13.179885557448,-5.81391800869997,-25.4251098646297
7,Sea Ice,2021-06-10,VV,-12.8681290302402,6.04537411492519,-12.8133724746388,2.45873425056983,-12.0610581526072,-5.21014243734259,-24.5240718743634
,,,,-12.6880039412231,6.26163049817113,-12.5611249117064,2.48905456194357,,,
