,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-12-24,VH,-26.6748415200473,8.11323693544139,-26.6853552638888,2.84837443736623,-26.4378635019376,-15.4742015438532,-44.9788652176362
1,Sea Ice,2021-01-05,VH,-23.9056795059379,9.83528949956837,-23.9362319145198,3.13612651204768,-25.6833600572255,-13.6034336614671,-39.6711797912983
2,Sea Ice,2021-01-29,VH,-24.3299169565414,10.1567263050345,-24.4351005483532,3.18696192400138,-25.9393405461158,-13.7158830155333,-41.9822737915291
3,Sea Ice,2021-03-06,VH,-25.274322890409,8.80284420042781,-25.4370995933322,2.96695874599358,-26.3136293371355,-15.0434665179785,-44.6571939345352
4,Sea Ice,2021-03-18,VH,-26.806393051954,5.2913297599639,-26.5608773714394,2.30028906008873,-26.312142106194,-17.2579938874004,-41.5259929923956
5,Sea Ice,2021-03-30,VH,-24.6617338920405,9.40936768735531,-24.8155787419533,3.06746926428861,-26.0665789233378,-15.1432057963627,-43.4315056378495
6,Sea Ice,2021-04-23,VH,-26.8070432972329,5.77788395547513,-26.5648613643868,2.40372293650394,-26.0609923864817,-17.914264074777,-45.4973525914632
7,Sea Ice,2021-06-10,VH,-23.4855212653306,10.7458902678157,-23.3159563399903,3.27809247395733,-22.1869826322825,-15.2066401582237,-41.8357500358239
,,,,-25.2431815474367,8.51657107638526,-25.218882642233,2.89849941928093,,,
