,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-04,HV,-30.8312393751798,6.50012620977421,-30.6868255201424,2.54953450844938,-30.9369362002492,-23.0362590009151,-52.0268341319269
1,Open Water,2020-11-20,HV,-31.5764902462341,5.02527070804919,-31.4400377186652,2.24171155772753,-31.0616181014918,-24.1256756031382,-41.715233354026
2,Open Water,2021-02-06,HV,-32.5735031068468,4.56669445935725,-32.4340628271997,2.13698255944153,-31.8138677505593,-24.5405896528886,-42.0929397983169
3,Open Water,2021-02-18,HV,-32.1053657312134,7.14351504168725,-31.9344810781426,2.67273549789111,-32.1838341836078,-23.909930854306,-46.0954412163463
4,Open Water,2021-02-24,HV,-31.2491060615025,5.07204287513357,-31.1854062081252,2.25211964050171,-31.1854062081252,-24.237511859473,-40.8131323247561
5,Open Water,2021-03-14,HV,-31.9689179198368,7.10693934257315,-31.8153049002166,2.66588434531079,-31.8153049002166,-24.4217866282633,-45.6248113814103
6,Open Water,2021-03-20,HV,-30.157167640889,6.8050100054011,-30.1854888451035,2.60864140989157,-30.4417543915488,-22.5272024655648,-41.1464440145899
7,Open Water,2021-04-13,HV,-29.2972897554826,7.76066627454391,-29.3125368931495,2.78579724218112,-30.4347569663237,-20.7474796600871,-41.1203161731872
,,,,-31.2754057802865,6.21144838667792,-31.1867597815146,2.48055317899219,,,
