,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,First-Year Ice,2020-10-16,HV,DESCENDING,-28.26468035730052,2.6926034757192254,-28.187606275595773,1.6409154383207323,-28.437531461938946,-19.301861265272414,-41.54515528156497
1,First-Year Ice,2020-11-09,HV,DESCENDING,-28.245259443488482,2.7071709008758047,-28.18746574532419,1.6453482612736678,-28.437644096294818,-19.55047987588732,-41.97537178890109
2,First-Year Ice,2020-11-21,HV,DESCENDING,-27.536220282416565,3.4055162235045966,-27.56236228268362,1.845404081361206,-27.312533155153393,-14.174563021646168,-44.76622334278552
3,First-Year Ice,2020-12-03,HV,DESCENDING,-26.485638882564636,5.523593716077671,-26.81263464370074,2.350232694027805,-26.93747336403073,-14.374532322595554,-40.48748961034943
4,First-Year Ice,2020-12-15,HV,DESCENDING,-25.824366513447398,5.594212148830194,-26.062441973204393,2.365208690333709,-26.437422179391113,-13.03395667761137,-38.8556669967819
5,First-Year Ice,2020-12-27,HV,DESCENDING,-25.914925224590398,6.212717056905105,-26.18752470473918,2.4925322579467655,-26.56242939721593,-11.343277122353907,-39.080725689227116
6,First-Year Ice,2021-01-08,HV,DESCENDING,-26.566183843829457,5.132144079911843,-26.812583207192205,2.2654235983391366,-26.687506587217715,-11.633261844114344,-40.17965842329269
7,First-Year Ice,2021-01-20,HV,DESCENDING,-26.62842793124405,4.089786928355649,-26.687542141731534,2.0223221623557577,-26.687542141731534,-12.738539385160681,-40.840618501763764
