,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,First-Year Ice,2020-10-16,HH,DESCENDING,-21.382100655758304,7.08141623534416,-21.062334913222383,2.6610930527405583,-20.562409770431504,-12.521193486482522,-37.020532178642114
1,First-Year Ice,2020-11-09,HH,DESCENDING,-20.309319011264467,7.377852515053009,-20.18743568392806,2.716220262617348,-20.062564604397643,-8.989132952738064,-36.221263238664235
2,First-Year Ice,2020-11-21,HH,DESCENDING,-13.950011738402955,4.701223114099463,-13.937527300480987,2.1682304107496195,-13.687598166784177,-2.82273104556253,-28.50438793731901
3,First-Year Ice,2020-12-03,HH,DESCENDING,-15.842580536786544,13.448367079156219,-15.875842215381082,3.6672015323889986,-16.875055917260735,-2.2744524532576045,-34.864552771698605
4,First-Year Ice,2020-12-15,HH,DESCENDING,-13.609606946214994,8.96319752703758,-13.37468252226065,2.993859971180625,-13.125057137616578,-0.942765382092507,-34.50581734457626
5,First-Year Ice,2020-12-27,HH,DESCENDING,-13.955310468811433,7.38060601260224,-13.87487193480783,2.7167270773123886,-13.874871934807834,0.3638283740472502,-32.116626397508085
6,First-Year Ice,2021-01-08,HH,DESCENDING,-16.53985648915155,9.228859922584734,-16.62517489027664,3.0379038698722245,-16.625174890276643,0.1821003719368153,-33.496959846064776
7,First-Year Ice,2021-01-20,HH,DESCENDING,-16.468147077495885,9.68237659966038,-16.374865363335015,3.111651747811824,-16.12512891826748,1.2215157472087492,-33.800338676451666
