,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Multi-Year Ice,2021-01-26,HH,ASCENDING,-12.705585207104228,10.924875672173256,-12.624681215213219,3.305279968803445,-12.124837579621287,7.065910831156087,-39.315494768373476
1,Multi-Year Ice,2021-02-07,HH,ASCENDING,-13.065484423816304,13.82709997817058,-12.624753016762032,3.7184808696792504,-11.875090319270239,5.031499342542699,-40.33645023976316
2,Multi-Year Ice,2021-02-19,HH,ASCENDING,-13.212169631249429,14.319902665621257,-12.874377419396028,3.784164724958637,-11.875021831016207,5.525418486804689,-41.64261285837581
