,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2021-01-26,HH,ASCENDING,-22.846572045659276,8.946111331915585,-22.62472053362843,2.9910050705265587,-21.875076218188024,-2.1906736624113274,-48.94338204953453
1,Open Water,2021-02-07,HH,ASCENDING,-23.532485381791027,8.909894106723641,-23.374565626928945,2.984944573475982,-22.624938422057454,-2.4664227924939013,-54.178692169631944
2,Open Water,2021-02-19,HH,ASCENDING,-23.754065380020503,8.869212763878318,-23.62444928814943,2.9781223554244147,-22.875173342562473,-2.6428255988817324,-50.827194658626254
